Qusetion_id,Question,Option_name,Feeling,Score
1,What would you do if you forgot an important deadline?,Panic and stress,Stress,5
1,What would you do if you forgot an important deadline?,Quickly come up with a backup plan,Problem-Solving,7
1,What would you do if you forgot an important deadline?,Feel guilty,Guilt,9
1,What would you do if you forgot an important deadline?,Ask for help,Seeking Support,1
2,How do you feel about trying something new?,Excited,Excitement,5
2,How do you feel about trying something new?,Anxious,Anxiety,9
2,How do you feel about trying something new?,Curious,Curiosity,7
2,How do you feel about trying something new?,Indifferent,Indifference,7
3,What do you think about public speaking?,Terrified,Fear,7
3,What do you think about public speaking?,Excited,Excitement,4
3,What do you think about public speaking?,Neutral,Neutrality,3
3,What do you think about public speaking?,Confident,Confidence,9
4,What do you usually do when stuck in traffic?,Get frustrated but try to stay calm,Anxiety,6
4,What do you usually do when stuck in traffic?,Blast music to distract myself,Calm,4
4,What do you usually do when stuck in traffic?,Call someone to vent,Anger,8
4,What do you usually do when stuck in traffic?,Practice deep breathing,Mindfulness,3
5,How do you react when you lose an important item?,Panic and search frantically,Panic,6
5,How do you react when you lose an important item?,Accept it and move on,Acceptance,9
5,How do you react when you lose an important item?,Blame myself,Self-Criticism,4
5,How do you react when you lose an important item?,Try to recall my steps logically,Logical Thinking,5
6,How do you feel about trying something new?,Excited,Excitement,10
6,How do you feel about trying something new?,Anxious,Anxiety,7
6,How do you feel about trying something new?,Curious,Curiosity,10
6,How do you feel about trying something new?,Indifferent,Indifference,2
7,What would you do if you forgot an important deadline?,Panic and stress,Stress,4
7,What would you do if you forgot an important deadline?,Quickly come up with a backup plan,Problem-Solving,10
7,What would you do if you forgot an important deadline?,Feel guilty,Guilt,6
7,What would you do if you forgot an important deadline?,Ask for help,Seeking Support,10
8,What do you think about public speaking?,Terrified,Fear,5
8,What do you think about public speaking?,Excited,Excitement,5
8,What do you think about public speaking?,Neutral,Neutrality,2
8,What do you think about public speaking?,Confident,Confidence,4
9,What's your typical reaction to constructive criticism?,Feel hurt,Sensitivity,4
9,What's your typical reaction to constructive criticism?,Take it positively,Openness,6
9,What's your typical reaction to constructive criticism?,Ignore it,Neglect,1
9,What's your typical reaction to constructive criticism?,Analyze and improve,Self-Improvement,2
10,What do you think about public speaking?,Terrified,Fear,9
10,What do you think about public speaking?,Excited,Excitement,9
10,What do you think about public speaking?,Neutral,Neutrality,3
10,What do you think about public speaking?,Confident,Confidence,10
11,What's your go-to response when someone cancels plans last minute?,Feel relieved,Relief,5
11,What's your go-to response when someone cancels plans last minute?,Get upset,Frustration,9
11,What's your go-to response when someone cancels plans last minute?,Laugh it off,Humor,10
11,What's your go-to response when someone cancels plans last minute?,Use the time for something else,Productivity,1
12,What do you think about public speaking?,Terrified,Fear,9
12,What do you think about public speaking?,Excited,Excitement,9
12,What do you think about public speaking?,Neutral,Neutrality,8
12,What do you think about public speaking?,Confident,Confidence,6
13,How do you handle long lines at a store?,Get impatient,Impatience,4
13,How do you handle long lines at a store?,Use the time for mindfulness,Mindfulness,6
13,How do you handle long lines at a store?,Feel irritated,Irritation,5
13,How do you handle long lines at a store?,Chat with someone nearby,Sociability,7
14,What would you do if you forgot an important deadline?,Panic and stress,Stress,3
